indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
(billions PPP)",GDP per capita (PPP),"GDP growth
(annual %)","health expenditure 
% of GDP","health expenditure 
per person","education expenditure
% of GDP","education expenditure 
per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Malaysia,MYS,"32,000,000","328,657",46.2,30.3,0.802,-,59.8,863.3,"27,267",5,4,"1,064",5.2,583,13,3.3,81.3,24.9,4,4,0.16,0.8,0.7,0.41,0.03,65.2,54.8,83.8,85.6,74.5,50,10.4
Maldives,MDV,"400,000",298,38.4,-,0.717,-,-,5.5,"15,553",1.9,11.5,"1,514",3.5,314,-,3.2,45.5,42.6,5,5,0.26,-0.5,-0.4,-0.62,-0.79,38.8,36.6,45,94.3,51.1,30,5.9
Mali,MLI,"19,000,000","1,220,190",40.1,-,0.427,4.74,29.7,38.1,"2,266",6.1,5.8,118,3.6,31,8,8.1,85.3,22.2,5,4,-1.91,-0.9,-0.6,-0.78,-0.63,32.4,31.4,31.9,68.1,57.6,40,8.8
Malta,MLT,"400,000",316,28.1,29,0.878,6.68,68.8,17.3,"39,834",6.3,9.6,"3,471",7.2,"1,874",15,5.3,51,40.4,1,1,1.27,1,1.3,1.14,0.74,62.8,49.9,68.1,64.7,68.5,60,11.9
Marshall Islands,MHL,"53,000",181,-,-,0.708,-,-,-,-,-,22.1,863,-,-,-,-,-,-,1,1,0.2,-1.6,-1,0.14,0,-,-,-,-,-,-,9.1
Mauritania,MRT,"3,800,000","1,030,700",37,18,0.52,4.68,28.9,16.4,"4,328",1.9,4.6,177,-,-,9,11.7,72.8,30.1,6,5,-0.62,-0.7,-0.8,-0.6,-0.75,17.6,28.9,23.9,75.9,54,40,25.2
Mauritius,MUS,"1,300,000","2,030",35.9,27.4,0.79,6.17,60.2,25.9,"20,422",3.4,5.5,"1,099",4.9,499,15,7.8,80.7,25.4,1,2,0.99,0.9,1,0.68,0.2,69.6,52.1,68.7,91,75.1,70,11.6
Mexico,MEX,"129,000,000","1,943,945",48.2,40.7,0.774,6.41,49.1,2315.7,"18,938",2.5,5.9,"1,009",5.3,564,13,4,78.1,27,3,3,-0.65,0,0.2,-0.57,-0.93,39,26.9,58.6,75.7,64.8,60,42.6
Micronesia,FSM,"100,000",702,61.1,-,0.627,-,-,0.3,"3,234",-0.2,13.1,458,-,-,-,-,7.4,55.6,1,1,1.2,0.1,-1,0.01,0.75,25.4,38.8,5.2,93.2,52.3,30,0
Moldova,MDA,"3,600,000","32,891",26.8,-,0.7,5.33,48.7,18.9,"5,328",-1.1,10.2,515,7.5,168,12,5,56.7,38,3,3,-0.24,-0.5,0,-0.41,-0.8,26.3,26.6,53.5,85.3,58.4,50,22.8
Monaco,MCO,"39,000",2,-,-,-,-,-,-,-,-,2,"3,407",1,-,-,-,-,-,3,1,1.65,-,-,-,-,-,-,-,-,-,-,20.8
Mongolia,MNG,"3,000,000","1,553,556",34,14.3,0.741,5.33,50.6,37,"12,275",2.3,3.9,470,4.7,197,15,6.7,57.1,37.8,1,2,0.82,-0.3,-0.1,-0.3,-0.45,30.9,34.8,51,88.4,55.7,60,17.1
Montenegro,MNE,"600,000","13,452",31.9,25.1,0.814,5.61,-,10.4,"16,643",4.1,6,957,-,-,15,17.5,35.7,46.3,3,3,0.01,0.2,0.3,0.01,-0.09,51.3,38.1,54.2,85.2,64.3,50,23.5
Morocco,MAR,"36,000,000","446,300",40.9,32.7,0.667,5.31,45.8,281.8,"8,330",4.5,5.5,435,-,-,12,10,70.5,31.4,5,5,-0.41,-0.2,-0.2,-0.17,-0.13,44.3,41.3,53.8,70.5,61.9,70,20.5
Mozambique,MOZ,"30,000,000","786,380",45.6,23.7,0.437,4.28,26.7,34.9,"1,215",6.3,5.4,64,-,-,10,24.4,60.7,36.2,4,4,-0.98,-0.9,-0.7,-1.01,-0.86,36.3,28.2,35.4,70.6,46.3,50,39.6
Myanmar,MMR,"53,000,000","676,575",-,24.7,0.578,4.15,37,304.7,"5,832",7,4.9,267,-,-,-,0.8,84.7,22.6,5,5,-1.08,-1.1,-0.8,-0.95,-0.56,17.6,28.2,32.5,86.3,53.9,20,10.2
Namibia,NAM,"2,300,000","823,290",59.7,21.6,0.647,4.44,39.1,26,"11,290",4.5,8.9,942,-,-,-,25.6,50.4,40.7,2,2,0.65,0.2,-0.2,0.24,0.32,54.2,45.4,56.6,63,58.5,40,41.3
Nauru,NRU,"14,000",21,-,-,-,-,-,-,-,-,4.8,"1,064",-,-,9,-,-,-,2,2,0.57,-0.4,-1.1,-0.73,-0.47,-,-,-,-,-,-,10.5
Nepal,NPL,"29,000,000","143,351",32.8,30.5,0.574,4.74,41.7,71.5,"2,479",3.4,6.1,151,4,28,12,3.2,87.6,20.3,3,4,-0.66,-0.9,-0.7,-0.68,-0.75,36.2,24.6,37.5,84.2,54.1,30,29.6
Netherlands,NLD,"17,000,000","33,893",30.3,35.3,0.931,7.46,80.3,869.4,"51,049",1.9,10.7,"5,313",5.5,"2,884",18,6.2,39.1,45,1,1,0.92,1.9,2.1,1.83,1.87,74.1,86,87.9,52.5,76.2,80,36
New Zealand,NZL,"4,700,000","264,537",36.2,31.3,0.917,7.33,78.6,177,"37,294",3.4,9.3,"3,530",6.4,"2,832",19,5.2,49.5,41,1,1,1.59,1.8,2.1,1.92,2.24,88.4,95.7,95.1,70.5,84.2,80,34.2
Nicaragua,NIC,"6,000,000","119,990",47.1,38.7,0.658,6.48,43.5,33.6,"5,452",4.5,7.8,406,-,-,-,5.9,80,25.8,5,4,-0.05,-0.6,-0.7,-0.64,-0.87,19,24.2,29.8,77.2,58.9,50,45.7
Niger,NER,"21,000,000","1,266,700",34,16.8,0.354,4.62,-,20.1,"1,107",4,7.2,68,6.7,29,5,2.6,72.9,30.1,4,4,-1.3,-0.7,-0.7,-0.68,-0.65,32.6,30.4,37.4,73.3,49.5,40,17
Nigeria,NGA,"191,000,000","910,768",48.8,22.2,0.532,5.32,26.5,1091.2,"5,942",2.7,3.6,215,-,-,9,5,96.3,11,3,5,-1.94,-1,-0.9,-0.87,-1.07,39.6,14.4,38,84.4,58.5,40,5.6
Norway,NOR,"5,000,000","304,282",26.8,36.8,0.953,7.58,85.3,364.4,"69,250",1.6,10,"6,222",7.7,"7,466",18,4.8,29.2,48.6,1,1,1.15,2,1.8,2.02,2.24,86,93.6,86.4,56.4,74.3,60,39.6
Oman,OMN,"4,000,000","309,500",-,21.1,0.821,-,62.1,184.8,"46,698",4.1,2.7,"1,636",-,-,14,17.5,25,50,6,5,0.74,0.2,0.4,0.43,0.25,57.4,51.5,59.5,98.5,61,60,1.2
Pakistan,PAK,"197,000,000","770,875",30.7,31.5,0.562,5.83,27.9,988.2,"5,106",4.2,2.7,134,2.5,32,8,5.9,88.2,19.8,4,5,-2.4,-0.6,-0.6,-0.72,-0.78,34,27.3,36,78.5,54.4,40,20.6
Palau,PLW,"22,000",459,-,-,0.798,-,-,-,-,-,10.6,"1,611",-,-,17,-,-,-,1,1,0.94,-0.2,-0.6,0.28,-0.47,-,-,-,-,-,-,12.5
Panama,PAN,"4,000,000","74,340",50.7,39.5,0.789,6.57,54.5,92.9,"23,024",5.8,7,"1,543",-,-,13,5.8,84.1,23.1,2,2,0.39,0,0.4,0.04,-0.54,29.4,38.8,60.9,85,67,70,18.3
Papua New Guinea,PNG,"8,000,000","452,860",50.9,-,0.544,-,-,28,"3,541",9,3.8,99,-,-,-,2.5,82,24.5,3,3,-0.58,-0.7,-0.7,-0.82,-0.9,55.1,33.1,38,71.1,55.7,30,0
Paraguay,PRY,"7,000,000","397,302",51.7,23.3,0.702,-,46.2,64.4,"9,396",3,7.8,724,-,-,12,5.4,82.2,24.4,3,3,0.12,-0.8,-0.2,-0.65,-0.72,28.2,28.3,38.3,96.1,62.1,60,13.8
Peru,PER,"32,000,000","1,279,996",45.3,34.6,0.75,5.71,49.3,406.2,"12,903",3.3,5.3,671,3.7,240,13,4.9,85.6,21.9,2,3,-0.26,-0.1,0.4,-0.5,-0.5,33.5,36.6,56.9,80.6,68.7,60,27.7
Philippines,PHL,"105,000,000","298,170",44.4,35,0.699,5.59,44.5,805.2,"7,728",5.8,4.4,323,-,-,13,5.9,89.3,18.9,3,3,-1.24,-0.1,0,-0.41,-0.48,38.2,34.4,45,78.9,65,60,29.5
Poland,POL,"38,000,000","304,255",30.8,27.5,0.865,6.2,67.7,1054.1,"27,764",3.6,6.3,"1,704",4.9,705,16,6.2,47.8,41.7,1,2,0.52,0.6,0.9,0.47,0.73,56.6,50.9,61.8,75.9,68.5,70,28
Portugal,PRT,"10,000,000","91,470",33.9,24.8,0.847,5.71,70.8,298.7,"28,933",1.5,9,"2,661",5.1,"1,131",17,11.2,29.8,48.4,1,1,1.08,1.3,0.9,1.13,0.87,70.1,56.8,69.2,59.8,63.4,60,34.8
Qatar,QAT,"2,600,000","11,586",-,-,0.856,-,70.8,329.2,"127,660",3.3,2.7,"3,900",3.6,"3,131",13,0.2,60.2,36.4,6,5,0.55,0.7,0.4,0.72,0.73,59.8,71.6,70.3,99.6,72.6,60,0
Romania,ROU,"20,000,000","229,891",27.3,28.8,0.811,6.09,60,441.6,"22,348",3.7,10.6,"1,090",3.1,313,15,6.4,66.9,33.2,2,2,0.06,-0.2,0.5,0.39,-0.03,59.7,40,61,87.3,69.4,50,20.7
Russia,RUS,"144,000,000","16,377,742",41.2,18.7,0.816,5.58,57,3799.7,"26,490",-3.7,7,"1,414",-,-,15,5.7,62.5,35.3,7,6,-0.67,-0.1,-0.5,-0.79,-0.89,46.9,38.1,48.7,85.8,58.2,30,15.8
Rwanda,RWA,"12,000,000","24,668",50.4,19.6,0.524,-,38,22.8,"1,977",6.9,3.8,143,-,-,11,2.5,77.7,27.2,6,6,0.04,0.3,0.2,0.13,0.63,79.6,61.2,69.8,75.8,69.1,40,61.3
Saint Kitts and Nevis,KNA,"55,000",261,-,-,0.778,-,-,-,-,-,5.6,"1,443",-,-,-,-,-,-,1,1,0.64,0.6,0.6,0.53,0.51,-,-,-,-,-,-,13.3
Saint Lucia,LCA,"200,000",606,-,-,0.747,-,-,2.1,"11,783",1.6,6,681,4.3,381,-,19.8,72.4,30.3,1,1,1.15,0.3,0.3,0.6,0.59,69.2,50.9,67.9,75.5,67.6,40,16.7
Saint Vincent and the Grenadines,VCT,"100,000",389,-,-,0.723,-,-,1.2,"11,271",1.6,4.2,470,-,-,-,19.3,72.7,30.1,1,1,0.9,0.3,0.3,0.43,0.72,69.2,51.5,36.7,72.7,67.7,40,13
Samoa,WSM,"200,000","2,821",-,-,0.713,-,-,1.1,"5,553",1.7,7.8,336,-,-,-,7.2,55.1,38.7,2,2,1.2,0.6,-0.1,0.87,0.66,38.8,40.1,53.1,79.9,61.5,30,10
San Marino,SMR,"33,000",61,-,-,-,-,-,-,-,-,5.3,"3,675",-,-,15,-,-,-,1,1,0.94,-,-,-,-,-,-,-,-,-,-,26.7
Sao Tome and Principe,STP,"200,000",964,30.8,-,0.589,-,-,0.6,"3,072",4,4.4,308,3.7,68,13,13.6,69.5,31.9,2,2,0.22,-0.8,-0.8,-0.68,0.14,28.2,39.4,38,82,53.6,30,18.2
Saudi Arabia,SAU,"33,000,000","2,149,690",45.9,-,0.853,6.29,62.6,1750.9,"55,158",3.4,6.3,"3,121",-,-,16,5.5,52,40,7,7,-0.62,0.3,0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,50,19.9
Senegal,SEN,"16,000,000","192,530",40.3,21.9,0.505,4.68,38.4,39.7,"2,577",6.5,9,97,7.4,78,9,9.5,72.7,30.2,2,2,-0.04,-0.3,-0.2,-0.15,-0.09,40.4,42.6,41.3,68.5,55.7,40,41.8
Serbia,SRB,"7,000,000","77,474",38.7,29,0.787,5.12,54.9,101.8,"14,493",0.7,9.4,"1,324",4.2,259,15,16.5,40.6,44.5,3,2,0.1,0.2,0,-0.19,-0.37,48.2,36.5,46.2,83.5,62.5,50,34.4
Seychelles,SYC,"100,000",455,-,-,0.797,-,59.1,2.6,"27,602",4.4,3.4,867,-,-,14,-,63,35.1,3,3,0.68,0.4,-0.2,0.1,0.68,38.8,38.8,60.7,73.4,61.6,30,21.2
Sierra Leone,SLE,"8,000,000","71,620",34,15.3,0.419,4.09,32.9,10.8,"1,672",-21.5,18.3,256,2.7,19,-,3,89.8,18.4,3,3,0.03,-1.2,-0.9,-0.79,-0.59,29.6,22,33.6,79.9,51.8,20,12.4
Singapore,SGP,"6,000,000",709,45.9,-,0.932,6.38,81.8,492.6,"87,855",2,4.3,"3,681",-,-,13,1.8,90.6,17.7,4,4,1.59,2.2,2.1,1.82,2.13,90.9,91.2,98.4,90.4,88.8,80,23
Slovakia,SVK,"5,000,000","48,105",23.7,28.2,0.855,6.37,67.4,170.1,"31,339",3.6,6.9,"2,062",4.2,788,15,10,44.3,43.1,1,1,0.88,0.8,0.8,0.57,0.22,38.8,38.2,68.2,78.9,65.3,70,20
Slovenia,SVN,"2,100,000","20,151",24.4,24.6,0.896,6.17,72.6,66.2,"32,085",2.9,8.5,"2,734",5.3,"1,281",17,8.7,31.2,47.9,1,1,0.89,1.2,0.6,1.02,0.81,57.7,52.1,76.6,58.7,64.8,50,36.7
Solomon Islands,SLB,"600,000","27,986",-,-,0.546,-,-,1.2,"1,973",3.3,8,173,-,-,-,31.4,35.6,46.3,3,2,0.21,-1,-0.8,-0.21,0.11,57.3,36.8,49.4,65.5,57.5,30,2
Somalia,SOM,"15,000,000","627,337",-,-,-,-,-,5.9,-,3.7,-,-,-,-,-,6.6,-,-,7,7,-2.33,-2.2,-2.3,-2.31,-1.72,25.4,17.8,33.1,-,-,-,24.4
South Africa,ZAF,"57,000,000","1,214,470",62.5,15.9,0.699,4.51,38.5,739.4,"13,225",1.3,8.2,"1,086",6,389,13,25.9,68.1,32.6,2,2,-0.27,0.3,0.2,-0.01,-0.01,65.9,45.4,67.7,62.5,63,50,42
South Sudan,SSD,"13,000,000","644,329",46,-,0.388,2.82,-,1686.9,"36,416",3.2,2.5,71,1.7,22,-,19.4,42.8,43.7,7,7,-2.46,-2.5,-1.9,-1.94,-1.71,62,51.5,73.1,62,65.1,70,28.5
Spain,ESP,"47,000,000","498,980",35.9,36,0.891,6.23,71.8,260.6,"12,262",5.2,9.2,"3,183",4.3,"1,268",18,5,89.3,18.9,1,1,0.27,1,0.9,1.01,0.49,52,30.7,46.5,84.9,57.8,40,39.1
Sri Lanka,LKA,"21,000,000","64,630",39.2,33.8,0.77,4.33,49.3,176.1,"4,447",3.5,3,353,1.9,74,14,13.3,95.3,12.5,3,4,-0.06,-0.2,-0.1,0.06,-0.45,21.4,21.2,27.8,85.9,49.4,20,5.8
Sudan,SDN,"41,000,000","1,861,484",-,-,0.502,-,26.5,7.9,"13,988",0.1,6.3,277,-,-,7,10,76.4,28.1,7,7,-2.01,-1.4,-0.6,-1.11,-1.54,21.4,39.9,39.7,71.4,48.1,30,30.5
Suriname,SUR,"600,000","156,000",-,25.4,0.72,-,52.7,498.1,"49,836",4.1,6.5,"1,017",-,-,-,7.1,23.2,50.6,2,2,0.14,-0.6,-0.5,-0.15,-0.17,88.2,92.9,92.6,43.9,76.3,80,25.5
Sweden,SWE,"10,000,000","410,335",24.9,28,0.933,7.29,81.9,496,"59,561",0.9,11,"5,299",7.7,"4,546",18,4.6,65.4,34,1,1,0.98,1.8,1.8,1.94,2.14,82.1,82.8,84.2,70.5,81.7,90,43.6
Switzerland,CHE,"8,000,000","39,997",29.5,34.3,0.944,7.47,83.8,21,-,-4.8,12.1,"7,583",5.1,"4,375",16,14.3,-,-,1,1,1.21,2.1,1.9,1.93,1.99,22.1,23.1,36.7,-,-,-,32.5
Syria,SYR,"18,000,000","183,630",-,19.1,0.536,-,-,1132.1,"48,095",0.7,-,-,-,-,9,4,90.4,17.8,7,7,-2.63,-1.8,-1.8,-2.09,-1.56,69.2,70.9,84.3,76.1,76.6,60,13.2
Taiwan,TWN,"24,000,000","32,260",33.6,-,-,6.36,-,26,"3,008",3,6.9,-,-,-,-,10.8,71.4,30.9,1,1,0.89,1.27,1.37,1.14,0.96,50.3,38.2,46.8,91.8,58.3,30,-
Tajikistan,TJK,"9,000,000","141,510",32.6,34.2,0.65,5.83,41.3,149.8,"3,080",7,6.1,193,-,-,11,2.6,89.8,18.5,7,6,-0.67,-1.1,-1.1,-1.35,-1.33,34.7,31.8,38,79.8,59.9,50,19
Tanzania,TZA,"57,000,000","885,800",37.6,22.1,0.538,3.35,36,1164.9,"16,888",2.8,3.8,96,3.5,32,8,0.6,85.5,22,4,4,-0.58,-0.6,-0.6,-0.45,-0.48,45.3,34.7,48.6,81.3,67.1,60,36.4
Thailand,THA,"69,000,000","510,890",44.5,37.3,0.755,5.94,52.4,-,-,-,3.1,610,-,-,16,-,-,-,6,5,-0.76,0.4,0.1,0.04,-0.39,-,-,-,-,-,-,4.8
Timor-Leste,TLS,"1,200,000","14,874",31.9,-,0.625,-,-,5,"4,187",4.3,3.1,141,-,-,13,4,30.9,48,2,3,0.03,-1,-0.7,-1.17,-0.54,13.8,32,29.9,97.4,48.1,20,32.3
Togo,TGO,"8,000,000","54,385",46,13.2,0.503,4.36,34.9,11.6,"1,550",5.3,6.6,96,4.9,30,12,6.8,73.3,29.8,4,4,-0.74,-1.1,-0.8,-0.71,-0.71,28.2,31.4,32.7,64.3,47.8,30,17.6
Tonga,TON,"100,000",717,-,-,0.726,-,-,0.6,"5,387",2.6,5.9,324,-,-,-,4.9,68.7,32.3,2,2,0.79,-0.2,-0.4,0.31,-0.16,25.4,40.5,62.1,85.4,63.1,20,3.8
Trinidad and Tobago,TTO,"1,400,000","5,128",-,15.7,0.784,6.19,58.7,43.6,"31,870",-1.8,6,"2,204",-,-,-,3.9,54.4,39,2,2,0.29,0.3,0,-0.11,-0.36,49.8,33.1,54.9,83.5,57.7,50,31
Tunisia,TUN,"12,000,000","155,360",40,26.2,0.735,4.12,49.3,130.6,"11,634",0.8,6.7,774,-,-,15,14.8,75.5,28.6,2,3,-1.05,-0.1,-0.4,0.07,-0.11,41.7,36.8,49.4,73,58.9,30,31.3
Turkey,TUR,"81,000,000","769,632",40.2,26.4,0.791,5.61,53.3,1988.3,"24,912",3.8,4.1,996,4.4,530,16,10.3,68.1,32.6,5,6,-1.8,0.1,0,-0.25,-0.19,54.5,42,54.7,74.7,65.4,60,14.6
Turkmenistan,TKM,"6,000,000","469,930",40.8,14.6,0.706,5.23,-,95.5,"17,485",6.5,6.3,"1,004",-,-,11,8.6,92.2,16.1,7,7,-0.15,-1.2,-2,-1.49,-1.48,5,27.3,29.8,95.9,47.1,10,25.8
Tuvalu,TUV,"11,000",26,-,-,-,-,-,-,-,-,15,523,-,-,-,-,-,-,1,1,1.27,-0.7,-0.8,0.56,0.06,-,-,-,-,-,-,6.7
Uganda,UGA,"43,000,000","197,100",39.5,19.4,0.516,4,30.9,85,"2,068",5,7.3,139,2.3,16,10,2.3,90.9,17.4,6,4,-0.56,-0.6,-0.2,-0.3,-1.04,40.3,28.3,43.5,73,62,40,34.3
Ukraine,UKR,"45,000,000","579,330",25.5,26.4,0.751,4.31,52.5,353,"8,305",-9.9,6.1,469,5.9,173,15,8.9,45,42.8,3,3,-1.89,-0.5,-0.3,-0.71,-0.78,29.5,29,41,80.2,51.9,30,12.3
United Arab Emirates,ARE,"9,000,000","83,600",-,-,0.863,7.04,70.4,668.9,"67,871",3.9,3.5,"2,426",-,-,-,3.7,70.9,31.2,7,6,0.63,1.4,1,0.8,1.13,83.4,77.3,76.3,98.4,77.6,60,22.5
United Kingdom,GBR,"66,000,000","241,930",32.4,31.9,0.922,7.1,74.6,2785.6,"42,481",2.2,9.9,"4,145",5.7,"2,664",18,4.8,44.4,43,1,1,0.26,1.4,1.7,1.68,1.84,93.8,79,92.2,65.2,78,80,32
United States,USA,"326,000,000","9,147,593",45,20.7,0.924,6.99,76,18569.1,"57,436",2.4,16.8,"9,536",5,"2,729",17,4.9,56.5,38.1,2,1,0.3,1.6,1.6,1.64,1.38,76.9,71.9,79.3,65.1,75.7,80,19.4
Uruguay,URY,"3,500,000","175,015",41.6,36.1,0.804,6.34,64.2,74.9,"21,527",1.5,9.2,"1,748",-,-,16,8.2,68.6,32.4,1,1,1.06,0.4,0.7,0.59,1.29,67,71.6,69.3,78,69.2,30,20.2
Uzbekistan,UZB,"32,000,000","425,400",36.8,29.1,0.71,6.42,43.1,205.7,"6,563",8,6.2,383,-,-,12,8.9,65.5,33.9,7,7,-0.28,-0.6,-1.3,-1.11,-1.16,35.3,24.2,48.7,91,51.5,10,16
Vanuatu,VUT,"300,000","12,189",-,40.6,0.603,-,-,0.7,"2,631",-0.8,3.5,106,4.9,3,-,5.4,78.5,26.8,2,2,0.71,-0.9,-0.3,0.49,0.01,47.1,75.4,67.9,97,69.5,40,0
Venezuela,VEN,"32,000,000","882,050",39,33.6,0.761,-,43.1,427,"13,761",-5.7,3.2,579,-,-,14,6.9,57.3,37.7,6,5,-1.18,-1.4,-2,-2.26,-1.36,13.8,7.5,5.2,72.5,25.2,10,22.2
Vietnam,VNM,"96,000,000","310,070",34.8,40.3,0.694,5.18,50.8,595.5,"6,429",6.7,5.7,334,-,-,-,2.2,74,29.4,7,5,0.31,0,-0.4,0.07,-0.58,36.3,30.4,46.4,79.7,53.1,40,26.7
Yemen,YEM,"28,000,000","527,968",37.9,22.8,0.452,3.25,23.9,69.2,"2,375",-28.1,6,144,-,-,-,17.1,80.9,25.2,7,6,-2.96,-1.9,-1.5,-1.75,-1.59,16.6,21.2,17.9,-,-,-,0
Zambia,ZMB,"17,000,000","743,398",57.5,25.2,0.588,3.93,33.2,64.9,"3,880",3.6,5.4,203,-,-,-,7.5,80.2,25.7,4,4,0.11,-0.6,-0.5,-0.33,-0.54,40.6,36.3,46,72.1,54.3,50,18
Zimbabwe,ZWE,"17,000,000","386,847",43.2,22.1,0.535,3.64,29.7,28.6,"1,970",1.5,10.3,182,7.5,78,10,5.1,72,30.6,6,5,-0.77,-1.2,-1.6,-1.38,-1.27,33,18.9,27.6,61.1,44,10,32.6
